Quantidade,DiaDaSemana,Turno,TipoFrete,TipoTransporte,OrdemViagem,PercAtraso,Atraso
4,1,3,0,3,19,.2,0
4,1,3,0,3,17,.3,0
4,1,3,0,3,17,.3,0
4,1,3,0,3,15,.2,0
4,1,3,0,3,15,.3,0
4,1,3,0,3,15,.2,0
4,1,3,0,3,15,.3,0
4,1,3,0,3,14,.3,0
4,2,3,0,3,24,.4,0
4,2,3,0,3,24,.4,0
4,2,3,0,3,25,.4,1
4,2,3,0,3,21,.2,0
4,2,3,0,3,22,.2,1
4,3,3,0,3,23,.2,0
4,2,3,0,3,15,.3,0
4,2,3,0,3,16,.3,1
6,2,3,0,3,1,0,0
6,2,3,0,3,2,0,0
6,2,3,0,3,4,.2,0
6,2,3,0,3,2,0,0
6,2,3,0,3,2,0,0
4,3,3,0,3,17,.3,0
4,2,3,0,3,24,.4,0
4,2,3,0,3,25,.4,1
4,2,3,0,3,26,.4,1
4,2,3,0,3,16,.2,0
4,2,3,0,3,25,.4,0
4,3,3,0,3,17,.2,0
4,2,3,0,3,26,.4,0
4,2,3,0,3,18,.2,0
4,2,3,0,3,26,.4,1
4,2,3,0,3,23,.3,0
4,2,3,0,3,23,.3,0
4,2,3,0,3,22,.3,0
4,2,3,0,3,21,.2,0
4,2,3,0,3,21,.2,0
4,2,3,0,3,21,.2,0
4,2,3,0,3,20,.2,0
4,2,3,0,3,18,.3,0
4,2,3,0,3,18,.3,0
4,2,3,0,3,16,.2,0
4,2,3,0,3,16,.3,0
4,2,3,0,3,16,.3,0
4,2,3,0,3,24,.3,1
4,2,3,0,3,24,.3,0
4,2,3,0,3,23,.3,1
4,2,3,0,3,22,.2,1
4,2,3,0,3,22,.2,1
4,2,3,0,3,22,.2,1
4,2,3,0,3,21,.2,1
4,2,3,0,3,19,.3,1
4,2,3,0,3,19,.3,1
4,2,3,0,3,17,.2,1
4,2,3,0,3,17,.3,1
4,2,3,0,3,17,.3,1
4,3,3,0,3,25,.3,0
4,3,3,0,3,25,.3,0
4,3,3,0,3,24,.3,0
4,3,3,0,3,23,.2,0
4,3,3,0,3,23,.2,0
4,3,3,0,3,23,.2,0
4,3,3,0,3,22,.2,0
4,3,3,0,3,20,.3,0
4,3,3,0,3,20,.3,0
4,3,3,0,3,18,.2,0
4,3,3,0,3,18,.3,0
4,3,3,0,3,18,.3,0
6,3,3,0,3,1,0,0
6,2,3,0,3,5,.2,0
4,2,3,0,3,1,.3,0
5,2,3,0,3,2,0,0
6,2,3,0,3,2,.2,0
6,2,3,0,3,1,0,0
6,2,3,0,3,3,.3,0
4,2,3,0,3,5,.1,0
6,3,3,0,3,5,.1,0
5,3,3,0,3,4,.4,1
6,3,3,0,3,1,.1,0
6,4,3,0,3,1,0,0
5,3,3,0,3,2,.1,1
6,3,3,0,3,3,.3,0
4,3,3,0,3,27,.4,1
4,3,3,0,3,27,.4,1
4,3,3,0,3,27,.4,1
4,3,3,0,3,26,.3,1
4,3,3,0,3,26,.3,1
4,3,3,0,3,25,.3,0
4,3,3,0,3,24,.2,1
4,3,3,0,3,24,.2,1
4,3,3,0,3,24,.2,0
4,3,3,0,3,24,.2,1
4,3,3,0,3,23,.2,0
4,3,3,0,3,21,.3,1
4,3,3,0,3,21,.3,0
4,3,3,0,3,19,.2,0
4,3,3,0,3,19,.3,0
4,3,3,0,3,19,.2,1
4,3,3,0,3,19,.3,1
4,3,3,0,3,18,.3,1
4,4,3,0,3,28,.4,0
4,4,3,0,3,28,.4,0
6,3,3,0,3,1,.5,0
6,3,3,0,3,4,0,0
6,3,3,0,3,1,.2,0
6,3,3,0,3,2,.4,1
6,5,3,0,3,4,0,0
6,3,3,0,3,1,0,0
6,4,3,0,3,1,0,0
6,4,3,0,3,1,0,0
6,4,3,0,3,1,0,0
6,3,3,0,3,2,0,0
6,4,3,0,3,5,.2,0
6,3,3,0,3,4,.3,0
6,4,3,0,3,6,.4,0
5,3,3,0,3,4,.2,1
5,3,3,0,3,4,0,0
6,4,3,0,3,6,.2,0
6,3,3,0,3,4,.1,0
4,4,3,0,3,3,0,0
6,4,3,0,3,1,0,0
6,4,3,0,3,1,0,0
6,4,3,0,3,4,0,0
6,4,3,0,3,2,0,0
6,4,3,0,3,1,0,0
6,4,3,0,3,3,0,0
6,4,3,0,3,1,0,0
6,4,3,0,3,1,0,0
6,4,3,0,3,4,.4,0
4,4,3,0,3,28,.4,0
4,4,3,0,3,27,.3,0
4,4,3,0,3,27,.3,1
4,4,3,0,3,26,.3,1
4,4,3,0,3,25,.2,1
4,4,3,0,3,29,.4,1
6,4,3,0,3,4,.3,0
6,4,3,0,3,4,.3,0
3,5,3,0,3,3,.1,0
6,4,3,0,3,3,.2,0
6,5,3,0,3,3,0,0
6,5,3,0,3,1,0,0
5,5,3,0,3,3,.4,0
6,5,3,0,3,1,.3,0
4,5,3,0,3,1,.2,0
6,5,3,0,3,2,0,0
4,4,3,0,3,1,.4,0
5,4,3,0,3,5,.4,1
5,5,3,0,3,1,0,0
6,5,3,0,3,1,0,0
6,4,3,0,3,1,0,0
6,5,3,0,3,2,0,0
6,4,3,0,3,4,.5,0
6,5,3,0,3,6,.2,0
6,5,3,0,3,1,0,0
6,5,3,0,3,1,0,0
5,5,3,0,3,6,.4,0
6,5,3,0,3,4,0,0
6,5,3,0,3,5,.1,0
6,5,3,0,3,3,0,0
6,5,3,0,3,4,0,0
